date,twitter_total_posts,positive_tweets,negative_tweets,neutral_tweets,tweet_sentiment,news_text_count,news_sentiment
2022-07-26,708,247,95,367,0.0759723435881531,51.0,0.021736482471776588
2022-07-27,719,238,77,404,0.0646074605813909,44.0,0.07004574970484062
2022-07-28,807,267,80,461,0.0754319695919031,47.0,-0.0034587977034785523
2022-07-29,705,230,89,386,0.0841184916510841,40.0,0.055497579966329966
2022-07-30,659,238,74,347,0.0798353354926219,16.0,0.07282460016835016
2022-07-31,647,220,68,359,0.0893970018424368,13.0,0.14504828504828504
2022-08-01,710,266,73,371,0.0937745831046887,1.0,-0.2916666666666667
2022-08-02,704,231,84,389,0.0800934510222634,55.0,0.06656762429489702
2022-08-03,684,242,86,356,0.0715444198832356,47.0,0.09615619723066532
2022-08-04,605,197,76,332,0.0702831922220942,50.0,0.04231168831168831
2022-08-05,499,170,42,287,0.0705601808475055,14.0,0.07076672335600907
2022-08-06,535,188,51,296,0.0835277900187764,50.0,0.08869457070707071
2022-08-07,592,203,71,318,0.0711323942652067,47.0,0.03207147462466611
2022-08-08,882,324,94,465,0.0771761562217495,47.0,0.07930034898120004
2022-08-09,664,249,91,324,0.0723124671286851,57.0,0.07647752588542062
2022-08-10,737,233,81,423,0.0719022340835336,18.0,0.10802352225963337
2022-08-11,809,281,89,439,0.078815849378857,46.0,0.039805430077169204
2022-08-12,602,209,70,323,0.081795010411523,56.0,0.04467166885693671
2022-08-13,567,189,62,316,0.0743531561418818,16.0,0.1414097222222222
2022-08-14,589,219,65,305,0.0897954178819293,10.0,0.062083333333333324
2022-08-15,720,241,77,402,0.0663802961760163,41.0,0.03960313060922817
2022-08-16,696,255,81,361,0.0767687938149514,39.0,0.0350480537980538
2022-08-17,661,224,76,362,0.0716458367586712,48.0,0.013228640572390574
2022-08-18,586,190,76,320,0.0669643108390708,36.0,0.06948920421142643
2022-08-19,859,230,105,524,0.0614861765110082,38.0,-0.01385740392648288
2022-08-20,608,185,75,348,0.0693275125748398,12.0,0.05347222222222222
2022-08-21,522,172,65,285,0.0805271922495342,8.0,0.11875000000000001
2022-08-22,626,243,65,318,0.0949458353166919,46.0,0.04849483447309535
2022-08-23,613,195,74,344,0.0631697393956264,44.0,0.12740427817132363
2022-08-24,545,199,50,296,0.0831908891661103,45.0,0.10367452300785635
2022-08-25,437,153,57,227,0.0785259701735674,43.0,0.04628024430350011
2022-08-26,591,182,75,334,0.0658063511316736,42.0,0.0326936026936027
2022-08-27,561,159,69,334,0.0526621439829211,13.0,-0.07216880341880341
2022-08-28,535,175,62,298,0.0685106719114442,15.0,0.07686026936026936
2022-08-29,597,189,76,332,0.0664786656748549,41.0,0.030184686587125607
2022-08-30,513,158,51,304,0.07030667480428,46.0,0.061892214066127105
2022-08-31,503,174,63,266,0.075031740728273,50.0,0.10691159812409813
2022-09-01,468,145,67,256,0.0592043067529178,,
2022-09-02,483,135,53,295,0.0636753423940785,53.0,0.08152292239556391
2022-09-03,419,132,59,228,0.0791318774046436,49.0,0.0812831485408016
2022-09-04,391,115,50,226,0.0655377070026792,14.0,0.08478084415584416
2022-09-05,518,180,68,270,0.0842225209157607,50.0,0.037242424242424244
2022-09-06,645,181,82,382,0.058852007920661,56.0,0.062224219233147804
2022-09-07,670,237,80,354,0.0758385033577133,18.0,0.10859918630751964
2022-09-08,608,194,82,332,0.0651436935371625,53.0,0.06199285079002059
2022-09-09,698,238,97,363,0.075785344921448,50.0,0.03801194083694084
2022-09-10,357,123,42,192,0.0773195986547577,14.0,0.06980519480519481
2022-09-11,383,120,46,217,0.0754566824619976,65.0,0.026729193645860315
2022-09-12,673,230,74,370,0.0786740584868914,44.0,0.06880858093926276
2022-09-13,667,194,93,380,0.0553374936230606,63.0,0.05602755159302778
2022-09-14,546,203,61,282,0.0745384474091248,63.0,0.0896991170205456
2022-09-15,574,234,84,257,0.0757984608133987,55.0,0.08894884997157725
2022-09-16,547,208,62,277,0.0852032506380573,48.0,0.03832108285233285
2022-09-17,467,163,50,254,0.0763199896750485,17.0,0.15310224089635854
2022-09-18,464,158,69,237,0.0664340306285349,16.0,0.07189668796811655
2022-09-19,758,247,83,429,0.0721454946729626,46.0,0.03848726002258611
2022-09-20,690,224,78,388,0.0696899438004963,55.0,0.0830596877869605
2022-09-21,622,209,66,348,0.0672671988692683,58.0,0.03299087446716757
2022-09-22,523,188,72,263,0.0725320553818317,48.0,0.07769013798701298
2022-09-23,524,166,75,283,0.0526027448160876,45.0,0.05493975468975469
2022-09-24,445,149,49,247,0.0712683459967519,17.0,0.16564913844325607
2022-09-25,401,115,62,224,0.054822529403265,17.0,0.09810208174178761
2022-09-26,564,174,65,325,0.0580642382830357,49.0,-0.005814982919574756
2022-09-27,734,219,79,436,0.0702200822124187,55.0,0.035541617473435656
2022-09-28,616,203,86,327,0.058841283391021,53.0,0.009906451645838438
2022-09-29,578,187,71,320,0.0669514972252784,55.0,0.055641151777515406
2022-09-30,576,183,74,320,0.0609450204844621,52.0,0.11360358391608391
2022-10-01,443,130,66,247,0.0606943750054289,13.0,0.05437062937062937
2022-10-02,470,132,59,279,0.0606793068731898,57.0,0.06838225614541403
2022-10-03,621,219,75,327,0.0636116208125945,56.0,0.08777273156737442
2022-10-04,699,208,81,410,0.0587420067154764,14.0,0.13078263502370646
2022-10-05,603,179,79,345,0.0546148949554836,57.0,0.110124532712252
2022-10-06,521,171,50,300,0.0784319696320142,55.0,0.09301697986357077
2022-10-07,517,176,65,276,0.0739268688666355,17.0,0.009592564298446652
2022-10-08,422,124,48,250,0.0730497473251472,36.0,0.047306297097963766
2022-10-09,441,153,63,225,0.0600750639050313,16.0,0.10789962121212121
2022-10-10,562,177,72,313,0.0602928206094353,51.0,0.09461494496788614
2022-10-11,544,181,68,296,0.0691786873676782,62.0,0.01362012987012987
2022-10-12,585,216,68,301,0.0843379962067131,19.0,0.0007651705020126047
2022-10-13,667,207,76,384,0.0703522988042157,53.0,0.03967093441150044
2022-10-14,539,183,59,297,0.0828725018260616,61.0,0.09623087825956678
2022-10-15,427,136,45,247,0.0666634095179656,19.0,0.18465709728867621
2022-10-16,432,154,44,234,0.0830206192537886,15.0,0.1615952380952381
