date,total_posts,positive,negative,neutral,sentiment
2022-10-09,441,153,63,225,0.06007506390503131
2022-10-10,562,177,72,313,0.06029282060943538
2022-10-11,544,181,68,296,0.0691786873676782
2022-10-12,585,216,68,301,0.08433799620671315
2022-10-13,667,207,76,384,0.0703522988042157
2022-10-14,539,183,59,297,0.08287250182606165
2022-10-15,427,136,45,247,0.0666634095179656
2022-10-16,432,154,44,234,0.08302061925378862
2022-10-17,561,188,73,300,0.07833686986234653
2022-10-18,542,186,70,286,0.06910723497298654
2022-10-19,501,156,54,291,0.07291097547384973
2022-10-20,466,158,70,239,0.05776089839259004
2022-10-21,513,171,61,281,0.07510290029892856
2022-10-22,410,141,39,230,0.08231751295307481
2022-10-23,445,160,64,221,0.06301156459689766
2022-10-24,526,156,68,302,0.053153763078519496
2022-10-25,672,214,79,379,0.07103279092221557
2022-10-26,606,194,64,348,0.07410189530857848
2022-10-27,537,189,58,290,0.0843451887907694
2022-10-28,478,181,59,238,0.08176032203169084
2022-10-29,416,133,49,234,0.06849653077819394
2022-10-30,397,146,42,209,0.08722567343096312
2022-10-31,662,249,58,356,0.10096801760503908
2022-11-01,547,177,63,307,0.06739939243187072
2022-11-02,533,178,60,295,0.06429877698279265
2022-11-03,503,165,56,282,0.07110268922124277
2022-11-04,600,185,79,336,0.07086831930952094
2022-11-05,488,151,49,288,0.06523546687883632
2022-11-06,395,114,49,233,0.059490461209098476
2022-11-07,529,151,61,317,0.06027822925560402
2022-11-08,919,273,137,509,0.04441188648605484
2022-11-09,1192,374,151,667,0.05503363475775539
2022-11-10,920,269,141,511,0.05705607214425269
2022-11-11,763,240,121,402,0.05790176708522358
2022-11-12,648,221,98,329,0.06323055739337292
2022-11-13,635,245,112,280,0.06578898061769782
2022-11-14,819,297,139,383,0.059007758172582435
2022-11-15,750,287,103,361,0.07436390081325406
2022-11-16,681,225,116,340,0.06292709189788721
2022-11-17,754,238,107,409,0.06214573215885237
2022-11-18,570,198,75,297,0.078409380835446
2022-11-19,517,168,76,273,0.060907040086319586
2022-11-20,518,190,71,257,0.07259648867493255
2022-11-21,823,289,104,430,0.07455807548086585
2022-11-22,721,242,106,373,0.06784657882741173
2022-11-23,655,252,78,325,0.08181612582798174
2022-11-24,508,178,73,257,0.07828561184541687
2022-11-25,500,175,61,264,0.08420035451238576
2022-11-26,437,134,57,246,0.05547721657255002
2022-11-27,428,139,47,242,0.0672271495270911
2022-11-28,527,184,70,273,0.07095440405365888
2022-11-29,517,173,73,271,0.07382341142330953
2022-11-30,769,259,87,423,0.0700829482475695
2022-12-01,491,147,77,267,0.06071371332791176
2022-12-02,440,157,51,232,0.08553830184966549
2022-12-03,403,120,50,234,0.0671684907897054
2022-12-04,412,153,45,214,0.08823546685809674
2022-12-05,547,161,63,323,0.05763375294739789
2022-12-06,508,206,58,244,0.09429111256418975
2022-12-07,519,191,63,266,0.07689933412941226
2022-12-08,495,191,62,242,0.07481056832229101
2022-12-09,411,132,56,224,0.06884538615502284
2022-12-10,382,141,48,193,0.07041458306446387
2022-12-11,432,146,58,228,0.07634614851321304
2022-12-12,521,168,60,293,0.060926142384575686
2022-12-13,599,197,91,311,0.06474190611726385
2022-12-14,587,178,82,328,0.058151749096575694
2022-12-15,481,157,70,254,0.049805016398766395
2022-12-16,481,168,63,250,0.06326346649560935
2022-12-17,358,121,49,188,0.07128023902446538
2022-12-18,322,118,34,170,0.09929835466932711
2022-12-19,466,158,52,256,0.07393171843725568
2022-12-20,413,126,40,247,0.06196365551381117
2022-12-21,467,139,52,276,0.06799755690415522
2022-12-22,392,117,66,209,0.053313802658509296
2022-12-23,440,132,49,259,0.06397490505749118
2022-12-24,332,107,40,185,0.07117611959110696
2022-12-25,362,115,41,206,0.08047575949292603
2022-12-26,405,138,52,215,0.06823892663406551
2022-12-27,473,161,70,243,0.05281058327058679
2022-12-28,480,154,55,271,0.07224949971135274
2022-12-29,420,126,45,249,0.0647263940245711
2022-12-30,403,135,61,207,0.061775686710882564
2022-12-31,312,128,31,153,0.1109148552225809
2023-01-01,393,152,54,187,0.07777872524469216
2023-01-02,508,165,71,272,0.06292257032704515
2023-01-03,616,244,51,321,0.1332442617423086
2023-01-04,432,143,36,253,0.08780079389522567
2023-01-05,361,136,36,189,0.08486545347524276
2023-01-06,392,120,37,237,0.06041993049858426
2023-01-07,351,127,27,197,0.08639283001048492
2023-01-08,369,134,40,195,0.07534009846171093
2023-01-09,516,142,57,317,0.06398654641483761
2023-01-10,435,146,61,228,0.07570207318908058
2023-01-11,461,170,37,255,0.10039386576212103
2023-01-12,818,235,81,502,0.06693022561193787
2023-01-13,700,202,98,400,0.05699548208452545
2023-01-14,888,273,104,511,0.061526043012371134
2023-01-15,515,165,61,289,0.06690027785950116
2023-01-16,649,214,76,359,0.066274883246426
2023-01-17,531,167,59,305,0.05870784146817687
2023-01-18,584,183,78,323,0.059376876713924547
2023-01-19,490,144,64,282,0.05857155176644972
